                                              INSTITUCION EDUCATIVA TP
                                   PROMEDIO PONDERADO DE LOS ALUMNOS MATRICULADOS
                                                   CICLO: 2024-1
                                                TODAS LAS FACULTADES
======================================================================================================================================================
      ALUMNO                                No. de Cursos   Suma Ponderada  No. de Creditos  Prom Ponderado    Facultad
20198608 - GORDILLO YINO YVONNE ROSARIO            15              814.00         62.00         13.13          ESTUDIOS_GENERALES_CIENCIAS
20193490 - CORONADO FIGUEROA JOHAN JOSE            16              846.50         69.75         12.14          FACULTAD_DE_DERECHO
20207053 - LOZADA YINO MARTHAVALERIA               15              796.75         71.75         11.10          FACULTAD_DE_ARQUITECTURA_Y_URBANISMO
20202031 - AQUINO TORO VALENTINA ROCIO             11              638.75         48.50         13.17          FACULTAD_DE_ARTE
20197557 - CARO POLO SANDRO                        13              638.75         57.25         11.16          ESTUDIOS_GENERALES_CIENCIAS
20196245 - VEGA MUNOZ GONZALO TEOBALDO             17             1024.50         77.75         13.18          FACULTAD_DE_DERECHO
20229272 - CRUZ FUENTES JOHANA DALI                18             1177.00         79.50         14.81          FACULTAD_DE_ARQUITECTURA_Y_URBANISMO
20197374 - VILCARA CORREA VICTOR JUSTINO            7              430.25         32.50         13.24          ESTUDIOS_GENERALES_CIENCIAS
20236453 - ARCA AMEZQUITA EDRIC RONALD             16              975.50         74.25         13.14          FACULTAD_DE_CIENCIAS_E_INGENIERIA
20208175 - HIJAR YEP WILLIAMS CHRISTIAN            15              834.00         65.50         12.73          FACULTAD_DE_ARQUITECTURA_Y_URBANISMO
20224223 - PASQUEL QUIO SURAMI JANET                5              372.50         22.50         16.56          FACULTAD_DE_ARTE
20215248 - MEJIA HUAYANAY CHRISTIAN ALONSO         13              709.75         62.25         11.40          FACULTAD_DE_ARTE
20219990 - ACUNA YINO ROCIO YOLANDA                 9              544.00         41.25         13.19          ESTUDIOS_GENERALES_CIENCIAS
20193891 - CAMACHO AGUERO ELIA ROSA                13              754.25         52.75         14.30          FACULTAD_DE_DERECHO
20195764 - CALIXTO TOMASICHE MONICA DORIS          14              585.25         62.00          9.44          ESTUDIOS_GENERALES_CIENCIAS
20231152 - HIJAR PAIRAZAMAN JENNY DELICIA           8              372.25         35.50         10.49          FACULTAD_DE_CIENCIAS_E_INGENIERIA
======================================================================================================================================================
Alumno con mayor numero de creditos matriculados:
                              NORABUENA PRECIADO CINTHIA[20193769] con 102.75 creditos de la FACULTAD_DE_ARQUITECTURA_Y_URBANISMO
