                                        BANCO DE LOS CLIENTES TP
                            LISTADO DE LAS CUENTAS DE AHORROS DE NUESTROS CLIENTES
========================================================================================================================
No.  CUENTA      CLIENTE                                   SALDO     SOBREGIRADA    FECHA DEL ULTIMO SOBREGIRO
56)  71839426    Diaz Moya Elia Annie                      97048.05        NO             --/--/----
57)  74183799    Gamarra Chavarri Zkenia                  -14580.32        SI             18/07/2025
58)  75392636    Lovera Iberos Raul Alvaro                 34602.05        NO             --/--/----
59)  75426881    Torrealba Salazar Ronal Evert            103740.70        SI             05/05/2026
60)  77555095    Shirakawa Ortega Angel                   -31233.19        SI             18/11/2024
61)  79045799    Valverde Pinto Edilberto                 -16473.41        SI             21/11/2025
62)  80009970    Benavente Ayala Virginia Irma            145235.59        NO             --/--/----
63)  80479769    Malca Saavedra Doris Milagros            -90325.78        SI             31/05/2025
64)  81730833    Mercado Quiroga Christian                 12319.88        SI             11/09/2025
65)  81890953    Egusquiza Berrocal Doris Nancy           -44503.01        SI             13/01/2025
66)  82950403    Norabuena Pairazaman Julian               19848.36        SI             07/05/2025
67)  83505777    Suchero Aguirre Adolfo                    29269.60        NO             --/--/----
68)  84455439    Chavez Prado Silvana                      75415.53        NO             --/--/----
69)  85374516    Villa Yallico Tatiana Nancy                3096.35        SI             11/06/2025
70)  86624675    Sedano Iberos Jair                        52720.85        NO             --/--/----
71)  89064460    Guevara Miyake Milena                    -47441.80        SI             21/01/2026
72)  90334731    Quiroga Laura Annie                       36918.67        NO             --/--/----
73)  94017458    Miranda Huayanay Rhony                   -36850.59        SI             23/09/2025
74)  94909241    Fuentes Gamarra Hugo                     -16702.50        SI             15/11/2025
75)  96248134    Lam Toro Alex                               748.45        SI             22/04/2026
76)  99718207    Chang Zuniga Glenda                        3975.55        SI             06/01/2026
77)  99819074    Saona Arias Alberto                       56230.64        SI             28/01/2025
========================================================================================================================
